frame,id,x,y,width,real_width,kp0_x,kp0_y,kp0_conf,kp1_x,kp1_y,kp1_conf,kp2_x,kp2_y,kp2_conf,kp3_x,kp3_y,kp3_conf,kp4_x,kp4_y,kp4_conf,kp5_x,kp5_y,kp5_conf,kp6_x,kp6_y,kp6_conf,kp7_x,kp7_y,kp7_conf,kp8_x,kp8_y,kp8_conf,kp9_x,kp9_y,kp9_conf
8,3,833.659423828125,289.53164863586426,24.253326416015625,1.5307395227064273,824.5593,293.97537,0.6956642,828.9175,300.32855,0.7221173,837.3511,293.6839,0.371039,845.7147,299.64493,0.5845269,851.8621,296.61685,0.04793665,836.1399,303.5764,0.03851279,835.0332,297.40564,0.025715236,821.3207,291.1922,0.038451776,835.11456,286.70227,0.023699095,808.12915,295.72687,0.02919216
8,4,972.7787475585938,305.4793939590454,33.46234130859375,3.900328925193315,986.36914,316.231,0.6841961,981.5066,312.5117,0.6482019,968.1078,316.1009,0.5750045,961.4634,311.4498,0.6127864,954.83386,310.05524,0.050867572,972.4547,317.30606,0.03885551,973.0798,310.27505,0.038614124,973.7042,309.2987,0.040829282,973.80725,309.225,0.02538891,954.67224,311.2665,0.02770206
8,5,874.51904296875,247.05853843688965,17.269866943359375,0.617156465489369,883.4917,255.2097,0.6505149,878.9656,251.02567,0.608075,870.3335,253.02911,0.59318346,869.74097,251.57047,0.60302365,869.5669,248.79936,0.053972438,877.2014,256.61227,0.047081877,883.10474,247.3022,0.03964889,874.6177,246.53036,0.045668438,876.9584,246.95055,0.027749987,852.6522,258.19482,0.036755696
8,6,903.5402526855469,267.1405506134033,23.1441650390625,1.0862778088477094,912.1649,274.06683,0.6545542,908.8794,269.9427,0.6154396,898.9884,274.2027,0.59737605,894.97485,269.94324,0.6155892,891.13055,269.97253,0.05197447,902.2696,275.23657,0.037879772,903.80383,267.1176,0.035183866,900.65906,267.23718,0.041574806,899.53845,265.16974,0.026901366,883.8384,269.80957,0.028649744
9,1,1146.3930358886719,468.9386787414551,116.83209228515625,2.5989140133845776,1093.08,476.37808,0.8384409,1139.431,510.60696,0.8831642,1120.2517,484.49362,0.035621397,1186.4783,505.4912,0.31434277,1214.522,477.81448,0.0025764853,1158.3613,512.2417,0.0016712156,1159.1606,509.77475,0.0003247868,1091.1047,490.59155,0.0010985316,1172.9778,486.61392,0.00031695986,1079.4526,489.89993,0.0008842751
9,2,886.9376220703125,353.49981021881104,45.685089111328125,14.8880618629063,864.4387,360.77853,0.7790215,876.61176,374.4052,0.80927354,884.5399,362.38254,0.19442174,907.45917,372.47348,0.5204618,918.63116,364.1058,0.035490755,892.79535,378.4077,0.028517958,883.08545,370.7796,0.012437437,860.5362,361.25262,0.02652795,881.2617,356.08643,0.0143447,847.9359,368.22043,0.018077662
9,3,835.6229553222656,291.781099319458,24.2325439453125,1.6038824533591969,825.411,296.1162,0.7003395,830.5186,302.89505,0.728581,837.72925,295.9746,0.35666522,847.949,302.0264,0.5709824,854.20074,298.4182,0.047102634,837.9666,306.34555,0.033877183,834.4413,299.93546,0.023402551,823.32715,293.49902,0.03492987,834.90216,289.50153,0.021625808,807.4232,297.84396,0.025645275
9,4,970.739501953125,304.91726303100586,33.2852783203125,3.8517293448281285,984.5464,316.07205,0.68732256,978.9146,312.1839,0.64606833,965.87274,316.1045,0.5751043,958.44934,310.87512,0.612576,952.16174,309.38245,0.052844606,970.81226,316.7866,0.04196892,971.60657,310.55167,0.041399542,971.1494,309.18365,0.04453141,974.2328,308.84277,0.02741702,953.6468,310.33984,0.029698282
9,5,873.9405212402344,247.08019351959229,17.5338134765625,0.6280338847574961,881.8439,254.84325,0.65165365,877.95935,250.43938,0.60701644,868.17865,252.88683,0.5884689,867.2477,251.2976,0.60806686,866.80865,248.31165,0.056840006,876.12573,256.36115,0.052207716,882.59766,246.87198,0.044721507,873.2633,246.35751,0.05068362,876.5398,246.34999,0.031510357,853.1564,257.96542,0.04036614
9,6,902.7914428710938,267.0321464538574,23.621429443359375,1.1060788865470625,912.748,273.87378,0.65797585,908.9706,269.77512,0.61613923,898.23047,274.0575,0.5971903,893.9358,269.62912,0.61561626,890.15063,269.6118,0.05262094,902.3029,274.7291,0.038689367,903.2958,266.87985,0.036565587,900.27997,266.9009,0.04257116,899.71484,265.23453,0.027577117,883.86017,269.0893,0.029403629
10,1,1146.810791015625,470.0569667816162,117.506103515625,2.593644059614641,1093.5853,477.49353,0.8469253,1139.1992,511.39453,0.8853673,1122.3064,485.95978,0.03522988,1187.6996,506.1049,0.31193358,1217.9458,478.36676,0.0024121075,1159.7412,513.16626,0.0014394554,1159.3047,511.13354,0.00027861155,1091.6257,491.43735,0.0010097297,1175.1777,487.24692,0.0002836066,1079.2224,490.58383,0.00075264246
10,2,888.4775390625,357.1263542175293,46.133697509765625,11.408966453727535,870.6597,364.58328,0.71510935,879.5593,378.0959,0.7411893,890.5763,367.26398,0.2626987,910.72144,375.53772,0.537458,918.942,370.44754,0.04254371,891.9446,379.62604,0.041900538,889.2705,371.59354,0.017279224,863.68085,363.8947,0.032827668,876.6235,361.64273,0.02002086,853.8844,373.19336,0.031568486
